ID,LOAN_ID,USER_ID,CREATED_AT,AMOUNT_DISBURSED,AMOUNT_FEE,NUM_REPAYMENTS,DAYS_BTWN_REPAYMENTS,LOAN_TERM_DAYS,LOAN_STATUS,DISBURSED_AT,USER_LOAN_RANK,PAID_IN_FULL_AT,CREDIT_SCORE,AMOUNT_REPAID,LOAN_TENURE
33843,4957505,2649000,2018-06-04,3100,432,4,7,28,defaulted,2018-06-04 00:00:00,2,,0.848,0,
78960,6769228,2649461,2018-06-30,4000,540,4,7,28,defaulted,30/06/18,4,,0.8195,0,
27516,5767271,2649591,2018-05-14,500,76,4,7,28,defaulted,14/05/18,2,,0.785,0,
87447,5036680,2650284,2018-10-04,4000,540,4,7,28,defaulted,2018-10-04 00:00:00,6,,0.8278,2000,
23849,6635470,2651136,2018-06-24,5000,695,1,28,28,defaulted,24/06/18,6,,0.9097,0,
47571,5511040,2651194,2018-02-05,4000,540,4,7,28,defaulted,2018-02-05 00:00:00,7,,0.8837,20,
81987,5264024,2651281,2018-04-21,2000,304,4,7,28,defaulted,21/04/18,2,,0.8819,2,
38309,6612038,2651570,2018-06-23,9000,1656,8,7,56,defaulted,23/06/18,10,,0.9024,4950,
9069,4969653,2651670,2018-07-04,1000,152,4,7,28,defaulted,2018-07-04 00:00:00,4,,0.8508,948,
9986,5036361,2651894,2018-10-04,4000,540,4,7,28,defaulted,2018-10-04 00:00:00,6,,0.8228,500,
12839,5618154,2652354,2018-07-05,250,38,4,7,28,defaulted,2018-07-05 00:00:00,2,,0.7688,0,
20780,4961101,2652798,2018-06-04,3100,432,4,7,28,defaulted,2018-06-04 00:00:00,2,,0.8311,1800,
16782,6390167,2653241,2018-06-13,1000,153,1,28,28,defaulted,13/06/18,1,,0.596,200,
107,6241459,2653677,2018-06-06,3100,452,1,28,28,defaulted,2018-06-06 00:00:00,3,,0.9183,500,
77234,5916570,2654070,2018-05-21,500,76,4,7,28,defaulted,22/05/18,1,,0.6243,288,
33904,5719617,2655615,2018-12-05,2000,304,4,7,28,defaulted,2018-12-05 00:00:00,3,,0.8819,500,
32528,5951808,2655847,2018-05-23,4000,540,4,7,28,defaulted,23/05/18,4,,0.9036,200,
45584,5336872,2656694,2018-04-24,4000,540,4,7,28,defaulted,24/04/18,4,,0.809,0,
35299,5641652,2656814,2018-08-05,2000,304,4,7,28,defaulted,2018-08-05 00:00:00,4,,0.9042,0,
24448,4906829,2657621,2018-04-04,2000,304,4,7,28,defaulted,2018-04-04 00:00:00,2,,0.8415,0,
52321,6642394,2658172,2018-06-24,3100,432,4,7,28,defaulted,24/06/18,7,,0.823,200,
4568,6313877,2658237,2018-09-06,5000,664,4,7,28,defaulted,2018-09-06 00:00:00,4,,0.8683,3000,
9016,5451934,2658293,2018-04-30,1000,152,4,7,28,defaulted,30/04/18,3,,0.7872,0,
22596,5691609,2658648,2018-10-05,1000,152,4,7,28,defaulted,2018-10-05 00:00:00,4,,0.8576,0,
27776,5453032,2659052,2018-04-30,5000,664,4,7,28,defaulted,30/04/18,4,,0.8776,750,
18721,5029578,2660376,2018-09-04,3100,432,4,7,28,defaulted,2018-09-04 00:00:00,2,,0.8788,0,
44642,5578200,2660449,2018-05-05,1000,152,4,7,28,defaulted,2018-05-05 00:00:00,3,,0.839,0,
465,6170235,2660682,2018-03-06,5000,695,1,28,28,defaulted,2018-03-06 00:00:00,5,,0.8656,0,
76259,6340048,2661579,2018-10-06,2000,304,4,7,28,defaulted,2018-10-06 00:00:00,7,,0.8429,1298,
95781,4906962,2661646,2018-04-04,500,76,4,7,28,defaulted,2018-04-04 00:00:00,4,,0.8631,4,
55599,5412088,2661736,2018-04-28,2000,304,4,7,28,defaulted,28/04/18,8,,0.8611,0,
31726,5625945,2661981,2018-07-05,3100,432,4,7,28,defaulted,2018-07-05 00:00:00,3,,0.7977,0,
21353,5618646,2663568,2018-07-05,5000,664,4,7,28,defaulted,2018-07-05 00:00:00,6,,0.8692,1200,
73353,5067501,2663839,2018-11-04,500,76,4,7,28,defaulted,2018-11-04 00:00:00,2,,0.8364,135,
72952,6503387,2664068,2018-06-18,1000,152,4,7,28,defaulted,18/06/18,9,,0.8141,5,
67089,5046359,2664552,2018-10-04,500,76,4,7,28,defaulted,2018-10-04 00:00:00,3,,0.8419,0,
60903,6568669,2665724,2018-06-21,500,76,4,7,28,defaulted,21/06/18,2,,0.8283,0,
80129,5733171,2667634,2018-12-05,1000,152,4,7,28,defaulted,2018-12-05 00:00:00,3,,0.8145,308,
59912,6763177,2667862,2018-06-30,1000,152,4,7,28,defaulted,30/06/18,6,,0.8052,0,
35044,5024329,2668438,2018-09-04,4000,540,4,7,28,defaulted,2018-09-04 00:00:00,6,,0.865,66,
10190,5916182,2668931,2018-05-21,3100,432,4,7,28,defaulted,21/05/18,2,,0.8115,1833,
32179,4867677,2669113,2018-02-04,3100,432,4,7,28,defaulted,2018-02-04 00:00:00,3,,0.8362,3366,
54981,5091229,2670397,2018-12-04,500,76,4,7,28,defaulted,2018-12-04 00:00:00,3,,0.8586,0,
53090,6512862,2670609,2018-06-18,3100,432,4,7,28,defaulted,18/06/18,7,,0.8551,50,
10339,4928756,2670641,2018-05-04,3100,432,4,7,28,defaulted,2018-05-04 00:00:00,2,,0.8919,902,
65165,5141414,2670648,2018-04-14,1000,152,4,7,28,defaulted,14/04/18,4,,0.8908,576,
50990,5535879,2670901,2018-04-05,3100,432,4,7,28,defaulted,2018-04-05 00:00:00,6,,0.8789,0,
36569,5587777,2671223,2018-06-05,5000,664,4,7,28,defaulted,2018-06-05 00:00:00,4,,0.8906,26,
56563,6185218,2671566,2018-03-06,2000,306,1,28,28,defaulted,2018-03-06 00:00:00,5,,0.8919,1702,
97662,5016658,2671938,2018-09-04,250,38,4,7,28,defaulted,2018-09-04 00:00:00,1,,0.5077,0,
63675,6053358,2672256,2018-05-28,2000,304,4,7,28,defaulted,28/05/18,3,,0.8772,0,
14236,5013896,2672286,2018-09-04,3100,432,4,7,28,defaulted,2018-09-04 00:00:00,2,,0.862,2088,
543,4917379,2672456,2018-04-04,3100,432,4,7,28,defaulted,2018-04-04 00:00:00,2,,0.7966,0,
2768,5846563,2672856,2018-05-18,1000,152,4,7,28,defaulted,18/05/18,2,,0.7337,0,
42521,5135401,2673223,2018-04-14,500,76,4,7,28,defaulted,14/04/18,2,,0.8546,230,
5128,5699896,2673571,2018-11-05,9000,1656,8,7,56,defaulted,2018-11-05 00:00:00,8,,0.8659,0,
4332,4964438,2673845,2018-06-04,3100,432,4,7,28,defaulted,2018-06-04 00:00:00,2,,0.7739,1800,
80678,5653323,2674881,2018-09-05,500,76,4,7,28,defaulted,2018-09-05 00:00:00,1,,0.6458,0,
84816,6162648,2675981,2018-02-06,500,76,4,7,28,defaulted,2018-02-06 00:00:00,1,,0.6517,0,
61353,4989828,2676770,2018-07-04,4000,540,4,7,28,defaulted,2018-07-04 00:00:00,3,,0.8226,0,
12742,5823259,2676829,2018-05-17,5000,695,1,28,28,defaulted,17/05/18,4,,0.8907,100,
87729,4993758,2676900,2018-08-04,3100,452,1,28,28,defaulted,2018-08-04 00:00:00,3,,0.817,0,
4166,5799723,2677462,2018-05-16,3100,432,4,7,28,defaulted,16/05/18,3,,0.8173,956,
42404,5573131,2677886,2018-05-05,1000,152,4,7,28,defaulted,2018-05-05 00:00:00,3,,0.8284,0,
96051,4879463,2678120,2018-03-04,1000,152,4,7,28,defaulted,2018-03-04 00:00:00,2,,0.8384,0,
12916,5186902,2678325,2018-04-17,1000,152,4,7,28,defaulted,17/04/18,1,,0.6645,0,
39380,4987525,2678672,2018-07-04,3100,432,4,7,28,defaulted,2018-07-04 00:00:00,2,,0.8334,0,
58643,5340987,2678842,2018-04-24,5000,695,1,28,28,defaulted,24/04/18,4,,0.9179,4395,
72832,5449481,2679361,2018-04-30,500,76,4,7,28,defaulted,30/04/18,1,,0.6538,0,
54240,5798326,2679411,2018-05-16,1000,152,4,7,28,defaulted,16/05/18,7,,0.8173,652,
14175,5002379,2679565,2018-08-04,3100,432,4,7,28,defaulted,2018-08-04 00:00:00,2,,0.822,0,
